"category","content"
"BAZO","Ancho disminuido"
"BAZO","Borde redondeado"
"BAZO","Bordes lancelados"
"BAZO","Capsula de predomineo lisa excepto por el quiste donde se torna irregular"
"BAZO","Contorno irregular"
"BAZO","Eplenometria alcanzando un espesor de hasta __ mm"
"BAZO","Esplenomegalia"
"BAZO","Estructura hipoecoica focal en cuerpo esplenico de _ mm diametro"
"BAZO","Excepto por una estructura hipoecoica focal en cuerpo esplenico de ___mm diametro"
"BAZO","Heterogéneo"
"BAZO","Largo aumentado"
"BAZO","No evaluable"
"BAZO","Parénquima esplenico de  ecotextura isoecoica comparada con corteza renal"
"BAZO","Parénquima hiperecoico"
"BAZO","Parénquima hipoecoico"
"BAZO","Parénquima homogenea"
"BAZO","Patrón de encaje o de cielo estrellado"
"BAZO","Plegado sobre sí mismo"
"BAZO","Tamaño fisiológico, posición normal en su proporción abdominal izquierda,  ecotextura de morfología uniforme, parénquima homogéneo, bordes lancelados, cápsula hiperecogénica lisa"
"BAZO","Tamaño levemente aumentado"
"BAZO","Tamaño normal  parénquima ecogénico, homogéneo y con textura fina. Cápsula hiperecogénica, lisa"
"BAZO","Textura gruesa"
"BAZO","aumento de volumen"
"CAVIDAD ABDOMINAL","Cuadrante Cisto Cólico CC"
"CAVIDAD ABDOMINAL","Cuadrante Esplenorenal SR"
"CAVIDAD ABDOMINAL","Cuadrante Hepato Diafragmático HD"
"CAVIDAD ABDOMINAL","Cuadrante Hepatorenal HR"
"CAVIDAD ABDOMINAL","Imagen en espejo de hígado dentro del tórax que descarta presencia de efusión pleural"
"CAVIDAD ABDOMINAL","Masa abdominal sin organodependencia definida"
"CAVIDAD ABDOMINAL","No se observa liquido libre en ninguno de sus 4 cuadrantes abdominales Cisto Cólico CC, esplenorenal SR , Hepato Diafragmático HD y Hepatorenal HR."
"CAVIDAD ABDOMINAL","No se observa líquido libre en abdomen"
"CAVIDAD ABDOMINAL","Se observa colecta abdominal anecoica pura"
"CAVIDAD ABDOMINAL","Se observa colecta abdominal con focos ecogénicos en suspensión compatible peritonitis infecciosa felina"
"CAVIDAD ABDOMINAL","Se observa peritoneo reactivo"
"CAVIDAD ABDOMINAL","Se observa peritonitis"
"CONCLUSIONES","* la doble ecogenicidad cortical si no es acompañada de hallazgos anormales en su orina o químicas sanguíneas (Glucosa, Cre, BUN, Fosforo, ALT, FA)  podría"
"CONCLUSIONES","** considerarse un proceso normal individual en este paciente sin representar enfermedad, se sugiere realizar seguimiento cada 3 meses ecográficos renales."
"CONCLUSIONES","Litiasis"
"CONCLUSIONES","Monitoreo hospitalario para dar seguimiento al tránsito estomacal en curso."
"CONCLUSIONES","Neoplasia hepatica"
"CONCLUSIONES","Por la presentacion de aborto considerar riesgo de infeccion zoonotica por Brucella spp"
"CONCLUSIONES","Por las alteraciones en sistema reproductor, los quistes y la colecta en muñón uterino se recomienda realizar laparotomía exploratoria"
"CONCLUSIONES","Por las alteraciones en sistema urinario se recomienda realizar Exámenes complementarios según criterio médico tratante (Hemograma, creatinina, fosforo, BUN, Urianalisis con urocultivo) y repetir"
"CONCLUSIONES","Realizar ecografía de control en 6 meses y detallar ambos riñones para descartar mineralización, nefrolitiasis y/o fibrosis medular"
"CONCLUSIONES","Realizar ecografía en 20 días posteriores al tratamiento para valorar evolución de _____ y cada 6 meses para monitoreo de ___"
"CONCLUSIONES","Se recomienda realizar cita de consulta cardiología y panel cardiaco completo Rxs tórax  lateral y DV, Ecocardiografía, Electrocardiograma y medición de presión arterial."
"CONCLUSIONES","Se sugiere realizar Orquiectomia con estudio de histopatología para descartar malignidad de la gónada  criptórquida."
"CONCLUSIONES","Tumor de bazo"
"CONCLUSIONES","Tumor de higado"
"EQUIPOS","MINDRAY KL"
"EQUIPOS","SONOSCAPE ULTRA"
"ESPECIES","Canino"
"ESPECIES","Equino"
"ESPECIES","Felino"
"ESTOMAGO","Con pared de grosor normal, peristaltismo normal, estratificación conservada y contenido gaseoso"
"ESTOMAGO","Contenido alimenticio"
"ESTOMAGO","Contenido gaseoso"
"ESTOMAGO","Contenido líquido"
"ESTOMAGO","Contenido líquido con focos ecogénicos en suspensión"
"ESTOMAGO","Contenido mucoso"
"ESTOMAGO","Distensión leve"
"ESTOMAGO","Distensión moderada"
"ESTOMAGO","Estratificación conservada"
"ESTOMAGO","Estratificación menos evidenciable"
"ESTOMAGO","Estrato mucoso engrosado"
"ESTOMAGO","Estrato muscular engrosado"
"ESTOMAGO","Estrato submucoso engrosado"
"ESTOMAGO","No evaluable."
"ESTOMAGO","Pared de grosor normal"
"ESTOMAGO","Pared engrosada"
"ESTOMAGO","Peristaltismo aumentado"
"ESTOMAGO","Peristaltismo ausente, ileo"
"ESTOMAGO","Peristaltismo disminuido"
"ESTOMAGO","Peristaltismo disminuido con retraso en vaciamiento gástrico"
"ESTOMAGO","Peristaltismo normal"
"ESTOMAGO","Presenta aumento alfa"
"ESTOMAGO","Pseudoestratificación"
"ESTOMAGO","Pérdida total de la estratificación"
"ESTOMAGO","Se observa imagen hiperecogénica con sombra acústica posterior, sugerente de cuerpo extraño."
"ESTOMAGO","Se observa lesión excavada sugerente de úlcera gástrica."
"ESTOMAGO","Sobredistensión"
"ESTOMAGO","Sugerente de gastritis urémica."
"ESTOMAGO","Vacío"
"GLANDULA MAMARIA","Abdominal caudal"
"GLANDULA MAMARIA","Abdominal craneal"
"GLANDULA MAMARIA","Con focos hiperecoicos, hipoecoicos y anecoicos desproporcionados"
"GLANDULA MAMARIA","En glandula mamaria derecha"
"GLANDULA MAMARIA","En glandula mamaria izquierda"
"GLANDULA MAMARIA","Inguinal"
"GLANDULA MAMARIA","Lesiones focales Hipoecoicas compatibles con hiperplasia nodular, lipoma,  metástasis, carcinoma, adenoma, sarcoma, fibroadenoma"
"GLANDULA MAMARIA","Masa de ecogenicidad aumentada con bordes irregulares"
"GLANDULA MAMARIA","Múltiples estructuras de ecogenicidad aumentada con bordes irregulares"
"GLANDULA MAMARIA","Presenta una estructura de ecotextura mixta glandular"
"GLANDULA MAMARIA","Se sugiere realizar exéresis quirúrgica de la masa de glandula mamaria con estudio de histopatologia para descartar malignidad."
"GLANDULA MAMARIA","Tocacica craneal"
"GLANDULA MAMARIA","Toracica caudal"
"GLANDULA TIROIDES","Características ecogénicas conservadas"
"GLANDULA TIROIDES","Compatibilidad con adenomas paratiroideos"
"GLANDULA TIROIDES","Examen Doppler color de la glándula tiroidea que muestra un buen flujo sanguíneo parenquimatoso"
"GLANDULA TIROIDES","Flujo vascular -------"
"GLANDULA TIROIDES","Glándula tiroidea derecha presents"
"GLANDULA TIROIDES","Glándula tiroidea izquierda presenta"
"GLANDULA TIROIDES","LLongitud del lobulo izquierdo ____"
"GLANDULA TIROIDES","Múltiples focos hiperecogénicos en la glándula"
"GLANDULA TIROIDES","Múltiples focos hipoecogénicos en la glándula"
"GLANDULA TIROIDES","Músculos esternocefalicos y esterno hioideos están superficiales a la tiroides con características ecogénicas conservadas."
"GLANDULA TIROIDES","No evaluado"
"GLANDULA TIROIDES","Posición envuelta por una vaina hiperecogenica delgada"
"GLANDULA TIROIDES","Vista longitudinal  lóbulo tiroideo, medial a la arteria carótida, parénquima tiroideo ligeramente más ecogénico con textura fina que la musculatura cervical adyacente"
"GLANDULAS ADRENALES","De características ultrasonográficas conservadas."
"GLANDULAS ADRENALES","GL Izquierda,  tamaño y forma bilobulada conservada"
"GLANDULAS ADRENALES","GL derecha, tamaño triangular o en delta"
"GLANDULAS ADRENALES","HIPOFUNCION MANIFIESTA"
"GLANDULAS ADRENALES","Longitud 16.12mm, polo craneal 5.41mm de ancho y caudal 4.27mm"
"GLANDULAS ADRENALES","No se observaron adrenales reactivas durante este estudio."
"GRANDES VASOS, VENAS Y ARTERIA","Liquido perivascular anecoico superficial a la vena por hematoma"
"GRANDES VASOS, VENAS Y ARTERIA","Lumen anecoico alineado horizontal mente de la vena yugular"
"HIGADO","Bordes finos, triangulares sin exceder el límite anatómico normal del estómago ni del riñón derecho"
"HIGADO","Bordes redondeados, aumentados de tamaño, excediendo  su límite con relación al estómago"
"HIGADO","Con  posición en decúbito dorsal  izquierdo y derecho  se hace aproximación al hígado"
"HIGADO","Eco estructura conservada, ecogenicidad y tamaño conservados"
"HIGADO","Ecogenicidad aumentada"
"HIGADO","Ecogenicidad aumentada, con aumento de la atenuación distal"
"HIGADO","Ecogenicidad conservada, bordes finos, triangulares sin exceder el límite anatómico normal del estomago ni del riñón derecho"
"HIGADO","Ecogenicidad mixta"
"HIGADO","Ecogenicidad mixta, presuntiva hepatopatía esteroidea asociada a hiperplasia, Linfoma, Hepatitis por confirmar"
"HIGADO","Ecogenicidad mixta, presuntivo fibrosis hepática, Carcinoma Hepatocelular, Metástasis, Necrosis, Amiloidosis o  Linfoma por confirmar"
"HIGADO","Ecogenicidad reducida"
"HIGADO","Ecogenicidad reducida, con aumento del contraste de los vasos sanguíneos"
"HIGADO","El ligamento falciforme esta en el campo cercano y se observa"
"HIGADO","El lóbulo cuadrado es relativamente central y rodea parcialmente la vesícula biliar"
"HIGADO","En la sección transversa del hígado los vasos aparecen como estructuras redondeadas anecoicas"
"HIGADO","En la sección trasversa del hígado se reconocen las ramas portales con límites hiperecoicos"
"HIGADO","En lóbulo lateral izquierdo presenta"
"HIGADO","Hepatomegalia"
"HIGADO","Hepatomegalia difusa, presuntiva Neoplasia de células Redondas, linfoma, histiocitosis, mastocitos,"
"HIGADO","Hepatomegalia difusa, presuntiva hepatopatía esteroidal, Lipidosis, hepatitis, colangiohepatitis,"
"HIGADO","Hepatomegalia difusa, presuntivo Carcinoma Masivo Hepatocelular, Metástasis, Amiloidoisis"
"HIGADO","Hepatomegalia focal o asimétrica, presuntiva Neoplasia primaria o Metástasis, absceso, quiste, o granuloma,"
"HIGADO","Hepatomegalia focal o asimétrica, trombosis, torsión lobular, hematoma,"
"HIGADO","Higado Graso"
"HIGADO","Hiperecogenicidad, fibrosis, cirrosis, linfoma, tumor de mastocitos."
"HIGADO","Hiperecogenicidad, hepatopatía esteroidal, Lipidosis, hepatopatías vacuolares, hepatitis crónica,"
"HIGADO","Hiperecoica en relación al hígado y presenta una gruesa ecotextura"
"HIGADO","Hipoecogenicidad, congestión pasiva, hepatitis aguda, colangiohepatitis, Linfoma, Leucemia,"
"HIGADO","Hígado hiperecoico en relación a la grasa falciforme por la obesidad del gato,"
"HIGADO","Hígado pequeño, Shunt porto sistémico, displasia micro vascular o hipoplasia  de vena porta,"
"HIGADO","Hígado pequeño, presuntiva cirrosis, fibrosis, hipovolemia severa,"
"HIGADO","Isoecoico en relación al hígado"
"HIGADO","Lesiones focales Anecoicas compatibles con quistes, tumor quístico, necrosis, absceso y/o hematoma,"
"HIGADO","Lesiones focales Hipoecoicas compatibles con hiperplasia nodular, metástasis, linfoma, neoplasia hepática,"
"HIGADO","Lesiones focales de ecogenicidad mixta, presuntiva hiperplasia nodular, neoplasia primaria, metástasis,"
"HIGADO","Lesiones focales de ecogenicidad mixta, presuntivos abscesos y/o hematomas"
"HIGADO","Lesiones focales hiperecoicas , mineralizacion , colelitiasis , grasa , mielolipoma , gas, hiperplas"
"HIGADO","Lesiones focales hiperecoicas, presuntiva hiperplasia nodular, neoplasia primaria, absceso o granuloma         ,"
"HIGADO","Lesiones focales hipoecoicas, absceso, necrosis, hematoma, complejo quístico,"
"HIGADO","Ligeramente aumentados pero sin exceder el demarcación anatómica normal del estómago ni el riñón derecho"
"HIGADO","Los cuales conforman la totalidad de la masa del hígado"
"HIGADO","Los demás lóbulos hepáticos conservan bordes finos, sin exceder  sus límites"
"HIGADO","Los demás lóbulos hepáticos conservan bordes redondeados, levemente aumentados de tamaño, excediendo sus límites."
"HIGADO","Los lóbulos del lado izquierdo  conforman un tercio de la masa hepática"
"HIGADO","Los lóbulos derechos son lateral, medial y caudado, hacia el centro tenemos el  proceso papilar"
"HIGADO","Los lóbulos izquierdos son el lateral, medial y cuadrado"
"HIGADO","Parénquima hepático normal es uniformemente hipoecoico con una ecotextura gruesa comparada con el"
"HIGADO","Se observa comunicación venosa patológica (Shunt)"
"HIGADO","Se observa signo de doble cañón"
"HIGADO","Se observan conductos biliares dilatados"
"HIGADO","Se observan vasos congestivos"
"HUESOS","A nivel de la diáfisis media  se aprecia"
"HUESOS","Imagen ecogénica compatible con cuerpo extraño"
"HUESOS","Imagen en modo B en la cual se distingue una clara interrupción de la continuidad esperada en  línea hiperecoica proximal del periostio"
"HUESOS","La superficie medial del fémur se muestra como una línea curva hiperecoica brillante"
"HUESOS","Perdida de la línea ósea brillante anterior  sugerente de reacción perióstica y/o panosteitis"
"HUESOS","Presencia de efusión articular"
"HUESOS","Presenta quiste óseo"
"HUESOS","Se visualiza el hueso____  en su eje corto  y largo observando línea hiperecoica proximal a lo largo de la corteza ósea cuyo curso no evidencia alteraciones"
"HUESOS","Se visualiza el hueso____  en su eje corto y largo observando línea hiperecoica proximal a lo largo de la corteza ósea cuyo curso  evidencia alteración en escalón que indicativo de fractura"
"HUESOS","Tumefacción de ecogenicidad mixta compatible con absceso"
"INTESTINO DELGADO","Con contenido intraluminal con focos ecogénicos en suspensión."
"INTESTINO DELGADO","Con contenido líquido intraluminal, estratificación conservada, pared de grosor normal, peristaltismo normal"
"INTESTINO DELGADO","Contenido gaseoso"
"INTESTINO DELGADO","Contenido líquido con focos ecogénicos en suspensión."
"INTESTINO DELGADO","Contenido líquido intraluminal"
"INTESTINO DELGADO","Contenido mucoso"
"INTESTINO DELGADO","Distensión leve"
"INTESTINO DELGADO","Distensión moderada"
"INTESTINO DELGADO","Enfermedad tipo alfa"
"INTESTINO DELGADO","Estratificación conservada"
"INTESTINO DELGADO","Estratificación menos evidenciable"
"INTESTINO DELGADO","Estrato mucoso engrosado"
"INTESTINO DELGADO","Estrato muscular engrosado"
"INTESTINO DELGADO","Estrato submucoso engrosado"
"INTESTINO DELGADO","Intestino agrandado tipo alfa"
"INTESTINO DELGADO","Pared de grosor normal"
"INTESTINO DELGADO","Pared engrosada"
"INTESTINO DELGADO","Pared engrosada focalmente"
"INTESTINO DELGADO","Perdida total de la estratificación generalizada"
"INTESTINO DELGADO","Peristaltismo aumentado"
"INTESTINO DELGADO","Peristaltismo ausente, ileo"
"INTESTINO DELGADO","Peristaltismo disminuido"
"INTESTINO DELGADO","Peristaltismo normal"
"INTESTINO DELGADO","Pérdida total de la estratificación localizada."
"INTESTINO DELGADO","Se observa imagen hiperecogénica con sombra acústica posterior, sugerente de cuerpo extraño."
"INTESTINO DELGADO","Se observa signo de intestino corrugado"
"INTESTINO DELGADO","Se observa signo de obstrucción"
"INTESTINO DELGADO","Se observan multiples capas concéntrica, sugerente de intususcepción"
"INTESTINO DELGADO","Sobredistensión generalizada"
"INTESTINO DELGADO","Sobredistensión localizada"
"INTESTINO DELGADO","Vacío."
"INTESTINO GRUESO","Contenido gaseoso, en colon descendente"
"INTESTINO GRUESO","Contenido gaseoso, en colon descendente y estratificación conservada."
"INTESTINO GRUESO","Contenido gaseoso, meteorismo."
"INTESTINO GRUESO","Contenido heces."
"INTESTINO GRUESO","Contenido líquido"
"INTESTINO GRUESO","Contenido líquido con focos ecogénicos en suspensión."
"INTESTINO GRUESO","Contenido mucoso"
"INTESTINO GRUESO","Distensión leve"
"INTESTINO GRUESO","Distensión moderada"
"INTESTINO GRUESO","Estratificación conservada."
"INTESTINO GRUESO","Estratificación menos evidenciable."
"INTESTINO GRUESO","Estrato mucoso engrosado."
"INTESTINO GRUESO","Estrato muscular engrosado."
"INTESTINO GRUESO","Hinchazon tipo alfa"
"INTESTINO GRUESO","No evaluable"
"INTESTINO GRUESO","Pared de grosor normal"
"INTESTINO GRUESO","Pared engrosada focalmente."
"INTESTINO GRUESO","Pared engrosada."
"INTESTINO GRUESO","Perdida total de la estratificación generalizada."
"INTESTINO GRUESO","Peristaltismo aumentado."
"INTESTINO GRUESO","Pérdida total de la estratificación localizada."
"INTESTINO GRUESO","Se observa imagen hiperecogénica con sombra acústica, sugerente de cuerpo extraño o fecaloma."
"INTESTINO GRUESO","Se observa signo de obstrucción."
"INTESTINO GRUESO","Sobredistensión generalizada."
"INTESTINO GRUESO","Sobredistensión localizada."
"INTESTINO GRUESO","Vacío."
"LINFONODOS","Ecogenicidad reducida."
"LINFONODOS","Ecográficamente conservados."
"LINFONODOS","El paciente presenta linfodenopatia periférica,"
"LINFONODOS","Forma redondeada."
"LINFONODOS","Iliacos mediales"
"LINFONODOS","No se observaron linfonódulos reactivos durante este estudio."
"LINFONODOS","Pancreatico duodenales y yeyunales"
"LINFONODOS","Se observan linfonódulos reactivos."
"MOTIVOS","Alteración analítica en sus exámenes de laboratorio Hemograma, Urianalisis y/o química sanguínea"
"MOTIVOS","Alteración en sistema urinario (FLUDT, hematuria, estranguria, oliguria, Urolitiasis)"
"MOTIVOS","Con énfasis en sistema genito urinario"
"MOTIVOS","Convulsiones"
"MOTIVOS","Criptorquidia"
"MOTIVOS","Diagnóstico de preñez, tiempo gestación"
"MOTIVOS","Ecografia abdominal por aborto"
"MOTIVOS","Ecografía abdominal por distención y/o dolor"
"MOTIVOS","Estudio de gestación  "
"MOTIVOS","Examen anual geriátrico"
"MOTIVOS","Examen completo abdominal"
"MOTIVOS","Paciente Cardiópata con edema pulmonar alveolar, tuvo recientemente una recaída."
"MOTIVOS","Posible Cuerpo Extraño a Nivel Intestinal"
"MOTIVOS","Posible masa abdominal"
"MOTIVOS","Posibles Parásitos"
"MOTIVOS","Presentación de diarrea"
"MOTIVOS","Presentación de flujo vaginal"
"MOTIVOS","Presentación de polidipsia y poliuria"
"MOTIVOS","Presentación de vómitos"
"MOTIVOS","Problemas endocrinos"
"MOTIVOS","Traumatismo abdominal por caída"
"MOTIVOS","Traumatismo abdominal por choque vehicular"
"MOTIVOS","Traumatismo torácico"
