"category","content"
"spleen","Ancho disminuido"
"spleen","Borde redondeado"
"spleen","Bordes lancelados"
"spleen","Capsula de predomineo lisa excepto por el quiste donde se torna irregular"
"spleen","Contorno irregular"
"spleen","Eplenometria alcanzando un espesor de hasta __ mm"
"spleen","Esplenomegalia"
"spleen","Estructura hipoecoica focal en cuerpo esplenico de _ mm diametro"
"spleen","Excepto por una estructura hipoecoica focal en cuerpo esplenico de ___mm diametro"
"spleen","Heterogéneo"
"spleen","Largo aumentado"
"spleen","No evaluable"
"spleen","Parénquima esplenico de  ecotextura isoecoica comparada con corteza renal"
"spleen","Parénquima hiperecoico"
"spleen","Parénquima hipoecoico"
"spleen","Parénquima homogenea"
"spleen","Patrón de encaje o de cielo estrellado"
"spleen","Plegado sobre sí mismo"
"spleen","Tamaño fisiológico, posición normal en su proporción abdominal izquierda,  ecotextura de morfología uniforme, parénquima homogéneo, bordes lancelados, cápsula hiperecogénica lisa"
"spleen","Tamaño levemente aumentado"
"spleen","Tamaño normal  parénquima ecogénico, homogéneo y con textura fina. Cápsula hiperecogénica, lisa"
"spleen","Textura gruesa"
"spleen","aumento de volumen"
"abdominal_cavity","Cuadrante Cisto Cólico CC"
"abdominal_cavity","Cuadrante Esplenorenal SR"
"abdominal_cavity","Cuadrante Hepato Diafragmático HD"
"abdominal_cavity","Cuadrante Hepatorenal HR"
"abdominal_cavity","Imagen en espejo de hígado dentro del tórax que descarta presencia de efusión pleural"
"abdominal_cavity","Masa abdominal sin organodependencia definida"
"abdominal_cavity","No se observa liquido libre en ninguno de sus 4 cuadrantes abdominales Cisto Cólico CC, esplenorenal SR , Hepato Diafragmático HD y Hepatorenal HR."
"abdominal_cavity","No se observa líquido libre en abdomen"
"abdominal_cavity","Se observa colecta abdominal anecoica pura"
"abdominal_cavity","Se observa colecta abdominal con focos ecogénicos en suspensión compatible peritonitis infecciosa felina"
"abdominal_cavity","Se observa peritoneo reactivo"
"abdominal_cavity","Se observa peritonitis"
"conclusions","* la doble ecogenicidad cortical si no es acompañada de hallazgos anormales en su orina o químicas sanguíneas (Glucosa, Cre, BUN, Fosforo, ALT, FA)  podría"
"conclusions","** considerarse un proceso normal individual en este paciente sin representar enfermedad, se sugiere realizar seguimiento cada 3 meses ecográficos renales."
"conclusions","Litiasis"
"conclusions","Monitoreo hospitalario para dar seguimiento al tránsito estomacal en curso."
"conclusions","Neoplasia hepatica"
"conclusions","Por la presentacion de aborto considerar riesgo de infeccion zoonotica por Brucella spp"
"conclusions","Por las alteraciones en sistema reproductor, los quistes y la colecta en muñón uterino se recomienda realizar laparotomía exploratoria"
"conclusions","Por las alteraciones en sistema urinario se recomienda realizar Exámenes complementarios según criterio médico tratante (Hemograma, creatinina, fosforo, BUN, Urianalisis con urocultivo) y repetir"
"conclusions","Realizar ecografía de control en 6 meses y detallar ambos riñones para descartar mineralización, nefrolitiasis y/o fibrosis medular"
"conclusions","Realizar ecografía en 20 días posteriores al tratamiento para valorar evolución de _____ y cada 6 meses para monitoreo de ___"
"conclusions","Se recomienda realizar cita de consulta cardiología y panel cardiaco completo Rxs tórax  lateral y DV, Ecocardiografía, Electrocardiograma y medición de presión arterial."
"conclusions","Se sugiere realizar Orquiectomia con estudio de histopatología para descartar malignidad de la gónada  criptórquida."
"conclusions","Tumor de bazo"
"conclusions","Tumor de higado"
"equipment_used","MINDRAY KL"
"equipment_used","SONOSCAPE ULTRA"
"species","Canino"
"species","Equino"
"species","Felino"
"stomach","Con pared de grosor normal, peristaltismo normal, estratificación conservada y contenido gaseoso"
"stomach","Contenido alimenticio"
"stomach","Contenido gaseoso"
"stomach","Contenido líquido"
"stomach","Contenido líquido con focos ecogénicos en suspensión"
"stomach","Contenido mucoso"
"stomach","Distensión leve"
"stomach","Distensión moderada"
"stomach","Estratificación conservada"
"stomach","Estratificación menos evidenciable"
"stomach","Estrato mucoso engrosado"
"stomach","Estrato muscular engrosado"
"stomach","Estrato submucoso engrosado"
