CAMPO,FRASE
MOTIVOS,Posible Cuerpo Extraño a Nivel Intestinal
VESICULA BILIAR,Distención moderada
VESICULA BILIAR,Contenido anecoico normal
VESICULA BILIAR,Pared conservada
RIÑON DERECHO,Conserva buena relación y diferenciación corticomedular
BAZO,Eplenometria alcanzando un espesor de hasta __ mm
MOTIVOS,Posibles Parásitos
HIGADO,Higado Graso
ESPECIES,Canino
ESPECIES,Felino
ESPECIES,Equino
PERRO,PITBULL
PERRO,DOBERMAN
GATO,SIAMES
GATO,ANGORA
PERRO,PEQUINES
PERRO,TOY
PAIS,CHILE
PAIS,VENEZUELA
CHILE,CALAMA
CHILE,ANTOFAGASTA
CHILE,SANTIAGO
VENEZUELA,CARACAS
MEDICAMENTO,SIN MEDICAMENTO
ENFERMEDAD,SIN ENFERMEDAD
SEXO,MACHO  ENTERO
SEXO,HEMBRA
RAZAS,PITBULL
MEDICAMENTO,PROZAC
ENFERMEDAD,HIPERTENSO
SEXO,MACHO CASTRADO
PANCREAS,Tamaño normal
HIGADO,Hepatomegalia
HIGADO,"Ecogenicidad conservada, bordes finos, triangulares sin exceder el límite anatómico normal del estomago ni del riñón derecho"
HIGADO,Ecogenicidad reducida
HIGADO,"Ecogenicidad reducida, con aumento del contraste de los vasos sanguíneos"
HIGADO,Ecogenicidad aumentada
HIGADO,"Ecogenicidad aumentada, con aumento de la atenuación distal"
HIGADO,Ecogenicidad mixta
HIGADO,"Eco estructura conservada, ecogenicidad y tamaño conservados"
HIGADO,Se observan vasos congestivos
HIGADO,Se observan conductos biliares dilatados
HIGADO,Se observa signo de doble cañón
HIGADO,Se observa comunicación venosa patológica (Shunt)
MOTIVOS,Examen completo abdominal
CAVIDAD ABDOMINAL,No se observa líquido libre en abdomen
CAVIDAD ABDOMINAL,Se observa colecta abdominal anecoica pura
CAVIDAD ABDOMINAL,Se observa colecta abdominal con focos ecogénicos en suspensión compatible peritonitis infecciosa felina
CAVIDAD ABDOMINAL,Se observa peritoneo reactivo
CAVIDAD ABDOMINAL,Se observa peritonitis
BAZO,"Tamaño normal  parénquima ecogénico, homogéneo y con textura fina. Cápsula hiperecogénica, lisa"
BAZO,Esplenomegalia
BAZO,Parénquima hipoecoico
BAZO,Parénquima hiperecoico
BAZO,Heterogéneo
BAZO,Textura gruesa
BAZO,Bordes lancelados
BAZO,Borde redondeado
BAZO,Plegado sobre sí mismo
BAZO,Contorno irregular
BAZO,Patrón de encaje o de cielo estrellado
INTESTINO GRUESO,Vacío.
INTESTINO GRUESO,Distensión leve
INTESTINO GRUESO,Distensión moderada
INTESTINO GRUESO,Sobredistensión localizada.
INTESTINO GRUESO,Sobredistensión generalizada.
INTESTINO GRUESO,"Contenido gaseoso, en colon descendente"
INTESTINO GRUESO,Contenido mucoso
INTESTINO GRUESO,Contenido líquido
